Key,English,Vietnamese,Brazil,Turkish,German,France,Indonesian,Spanish,Russian,Korean,Japanese,Hindi,Ukrainian,Italian,Giải thích
ui_mainmenu_era22,Atlantis Era,Thời Đại Atlantis,Era de Atlântida,Atlantis Devri,Atlantis-Ära,Ère d'Atlantis,Era Atlantis,Era de la Atlántida,Эпоха Атлантиды,아틀란티스 시대,アトランティス時代,अटलांटिस युग,Епоха Атлантиди,Era di Atlantide,
ui_mainmenu_era23,Frostpunk Era,Thời Đại Băng Giá,Era Frostpunk,Frostpunk Devri,Frostpunk-Ära,Ère Frostpunk,Era Frostpunk,Era Frostpunk,Эпоха Frostpunk,프로스트펑크 시대,フロストパンク時代,फ्रॉस्टपंक युग,Епоха Frostpunk,Era Frostpunk,
ui_mainmenu_era24,Post-Apocalypse Era,Thời Đại Hậu Tận Thế,Era Pós-Apocalipse,Kıyamet Sonrası Çağı,Postapokalyptische Ära,Ère post-apocalyptique,Era Pasca-Apokaliptik,Era postapocalíptica,Постапокалиптическая эра,포스트 아포칼립스 시대,ポストアポカリプス時代,पोस्ट-अपोकैलिप्स युग,Постапокаліптична ера,Era post-apocalittica,
ui_mainmenu_era25,Superheroes Era,Thời Đại Siêu Anh Hùng,Era dos Super-heróis,Süper Kahramanlar Dönemi,Ära der Superhelden,L'ère des super-héros,Era Pahlawan Super,Era de los Superhéroes,Эра супергероев,슈퍼히어로 시대,スーパーヒーローの時代,सुपरहीरो युग,Ера супергероїв,L'era dei supereroi,
ui_mainmenu_era3,Industrial Era,Kỷ Công Nghiệp,Era Industrial,Endüstri Çağı,Industriezeitalter,Ère industrielle,Era Industri,Era Industrial,Индустриальная эпоха,산업 시대,産業時代,औद्योगिक युग,Індустріальна епоха,Era industriale,
ui_mainmenu_era4,Modern Era,Kỷ Hiện Đại,Era Moderna,Modern Çağ,Moderne,Ère moderne,Era Modern,Era Moderna,Новое время,현대 시대,現代,आधुनिक युग,Сучасна епоха,Era moderna,
ui_mainmenu_era5,Cyber Era,Kỷ Tương Lai,Era Cibernética,Siber Çağ,Cyber-Ära,Ère cyber,Era Siber,Era Cíber,Киберэпоха,사이버 시대,サイバー時代,사이बर युग,Кіберепоха,Era cyber,
ui_mainmenu_era6,Nile Era,Thời Đại Ai Cập,Era do Nilo,Nil Çağı,Nil-Ära,Ère du Nil,Era Nil,Era del Nilo,Эпоха Нила,나일 시대,ナイル時代,नील युग,Епоха Нілу,Era del Nilo,
ui_mainmenu_era7,Legion Era,Thời Đại La Mã,Era da Legião,Lejyon Çağı,Legions-Ära,Ère de la Légion,Era Legiun,Era de la Legión,Эра Легиона,군단 시대,レギオンの時代,लीजन युग,Ера Легіону,Era della Legione,
ui_mainmenu_era8,Shogun Era,Thời Đại Mạc Phủ,Era Shogun,Şogun Dönemi,Shogun-Ära,Ère Shogun,Era Shogun,Era Shogun,Эпоха сёгунов,쇼군 시대,将軍時代,शोगुन युग,Епоха сьоґунів,Era Shogun,
ui_mainmenu_era9,Diesel Era,Thời Đại Thế Chiến,Era do Diesel,Dizel Dönemi,Diesel-Ära,Ère du Diesel,Era Diesel,Era del Diésel,Эра дизеля,디젤 시대,ディーゼル時代,डीजल युग,Ера дизеля,Era del Diesel,
ui_mainmenu_full_energy,Energy Station,Trạm Năng Lượng,Estação de Energia,Enerji İstasyonu,Energiestation,Station d'énergie,Stasiun Energi,Estación de Energía,Энергетическая станция,에너지 스테이션,エネルギーステーション,ऊर्जा स्टेशन,Енергетична станція,Stazione Energetica,
ui_mainmenu_level,Level {0},Màn {0},Nível {0},Seviye {0},Level {0},Niveau {0},Level {0},Nivel {0},Уровень {0},레벨 {0},レベル {0},स्तर {0},Рівень {0},Livello {0},
ui_mainmenu_out_energy,Out Of Energy,Hết Năng Lượng,Sem energia,Enerji Bitti,Keine Energie mehr,Plus d'énergie,Kehabisan Energi,Sin energía,Закончилась энергия,에너지 부족,エネルギー不足,ऊर्जा खत्म,Скінчилася енергія,Energia esaurita,
ui_mainmenu_powerup,POWER UP,SỨC MẠNH,POWER UP,GÜÇLENDİRME,POWER-UP,POWER UP,POWER UP,MEJORA,УСИЛЕНИЕ,파워업,パワーアップ,पावर अप,ПОКРАЩЕННЯ,POTENZIAMENTO,
ui_mainmenu_refill,Recharge Yourself!,Hồi Phục Ngay!,Recarregue-se!,Kendini Yenile!,Lade dich auf!,Rechargez-vous !,Isi Ulang Dirimu!,¡Recárgate!,Зарядись!,재충전하세요!,自分をチャージしよう！,खुद को रिचार्ज करें!,Зарядись!,Ricaricati!,
ui_mainmenu_switch_hero,Switch Hero,Đổi Anh Hùng,Trocar herói,Kahramanı Değiştir,Held wechseln,Changer de héros,Ganti Hero,Cambiar héroe,Сменить героя,영웅 교체,ヒーローを切り替える,हीरो बदलें,Змінити героя,Cambia eroe,
ui_mainmenu_timeline,Timeline {0},Dòng Thời Gian {0},Linha do Tempo {0},Zaman Çizelgesi {0},Zeitlinie {0},Chronologie {0},Timeline {0},Línea de tiempo {0},Хронология {0},타임라인 {0},タイムライン {0},टाइमलाइन {0},Хронологія {0},Cronologia {0},
ui_maxlevel,MAX LEVEL,CẤP TỐI ĐA,NÍVEL MÁXIMO,MAKSİMUM SEVİYE,MAX. LEVEL,NIVEAU MAX,LEVEL MAKSIMAL,NIVEL MÁXIMO,МАКС. УРОВЕНЬ,최고 레벨,最大レベル,अधिकतम स्तर,МАКС. РІВЕНЬ,LIVELLO MASSIMO,
ui_newfeature,New Feature,Tính năng mới,Novo recurso,Yeni Özellik,Neue Funktion,Nouvelle fonctionnalité,Fitur Baru,Nueva función,Новая функция,새로운 기능,新機能,नई सुविधा,Нова функція,Nuova funzione,
ui_no_ads,No Available Ads,Quảng cáo không có sẵn,Nenhum anúncio disponível,Kullanılabilir reklam yok,Keine verfügbaren Anzeigen,Aucune publicité disponible,Tidak ada iklan yang tersedia,No hay anuncios disponibles,Нет доступных объявлений,사용 가능한 광고 없음,利用可能な広告はありません,कोई विज्ञापन उपलब्ध नहीं है,Немає доступних оголошень,Nessun annuncio disponibile,
ui_no_internet,No network connection,Không có kết nối mạng,Sem conexão,Ağ yok,Keine Verbindung,Pas de réseau,Tidak ada jaringan,Sin conexión,Нет сети,네트워크 없음,ネット未接続,नेटवर्क नहीं है,Немає мережі,Nessuna connessione di rete,
ui_noads,No ads,Xóa QC,Sem anúncios,Reklam yok,Keine Werbung,Sans pub,Tanpa iklan,Sin anuncios,Без рекламы,광고 없음,広告なし,कोई विज्ञापन नहीं,Без реклами,Senza pubblicità,
ui_notify_nopurchase,You have not made any purchases to restore.,Bạn chưa thực hiện giao dịch nào để khôi phục.,Você não fez nenhuma compra para restaurar.,Herhangi bir geri yüklenecek satın alma bulunamadı.,Sie haben keine Käufe zum Wiederherstellen.,Vous n'avez effectué aucun achat à restaurer.,Anda belum melakukan pembelian apa pun untuk dipulihkan.,No has realizado ninguna compra para restaurar.,У вас нет покупок для восстановления.,복원할 구매 항목이 없습니다.,復元する購入履歴がありません。,आपने पुनर्स्थापित करने के लिए कोई खरीदारी नहीं की है।,У вас немає покупок для відновлення.,Non hai effettuato alcun acquisto da ripristinare.,
ui_notify_restorefail,Purchase was previously rolled back,Giao dịch mua trước đó đã bị hoàn tác,A compra foi revertida anteriormente,Satın alma işlemi daha önce geri alındı,Der Kauf wurde zuvor rückgängig gemacht,L'achat a été annulé précédemment,Pembelian sebelumnya telah dibatalkan,La compra fue revertida anteriormente,Покупка была ранее отменена,이전에 구매가 롤백되었습니다,購入は以前にロールバックされました,खरीद को पहले ही वापस ले लिया गया था,Покупку було раніше скасовано,L'acquisto è stato annullato in precedenza,
ui_notify_restoresuccess,Restore successful!,Khôi phục thành công!,Restaurado com sucesso!,Geri yükleme başarılı!,Wiederherstellung erfolgreich!,Restauration réussie !,Berhasil dipulihkan!,¡Restauración exitosa!,Восстановление успешно!,복원 성공!,復元に成功しました！,पुनर्स्थापन सफल!,Відновлення успішне!,Ripristino riuscito!,
ui_purchase_fail,Purchase Failed,Thanh toán thất bại,Falha na compra,Satın alma başarısız,Kauf fehlgeschlagen,Achat échoué,Pembelian gagal,Compra fallida,Покупка не удалась,구매 실패,購入に失敗しました,खरीद विफल,Покупка не вдалася,Acquisto non riuscito,
ui_purchase_false2,Purchase Failed,Xác minh thất bại,Falha na compra,Satın alma başarısız,Kauf fehlgeschlagen,Achat échoué,Pembelian gagal,Compra fallida,Покупка не удалась,구매 실패,購入に失敗しました,खरीद विफल,Покупка не вдалася,Acquisto non riuscito,
ui_retry,Retry,Thử lại,Tentar novamente,Yeniden dene,Erneut versuchen,Réessayer,Coba lagi,Reintentar,Повторить,다시 시도,再試行,पुनः प्रयास करें,Спробувати ще раз,Riprova,
ui_setting_haptic,Haptic,Rung,Háptico,Dokunsal,Haptik,Haptique,Haptik,Háptico,Виброотклик,햅틱,触覚,हैप्टिक,Вібровідгук,Feedback aptico,
ui_setting_off,Off,Tắt,Desligado,Kapalı,Aus,Désactivé,Mati,Desactivado,Выкл.,끄기,オフ,बंद,Вимк.,Off,
ui_setting_on,On,Bật,Ligado,Açık,An,Activé,Aktif,Activado,Вкл.,켬,オン,चालू,Увімк.,On,
ui_setting_policy_content,Do you want to read the privacy policy?,Bạn muốn đọc chính sách bảo mật?,Quer ler a política de privacidade?,Gizlilik politikasını okumak ister misiniz?,Möchten Sie die Datenschutzerklärung lesen?,Voulez-vous lire la politique de confidentialité?,Apakah Anda ingin membaca kebijakan privasi?,¿Quieres leer la política de privacidad?,Хотите прочитать политику конфиденциальности?,개인정보 보호정책을 읽으시겠습니까?,プライバシーポリシーを読みますか？,क्या आप गोपनीयता नीति पढ़ना चाहते हैं?,Чи бажаєте ви прочитати політику конфіденційності?,Vuoi leggere l'informativa sulla privacy?,
ui_setting_policy_title,Privacy Policy,Chính sách bảo mật,Política de Privacidade,Gizlilik Politikası,Datenschutzrichtlinie,Politique de confidentialité,Kebijakan pribadi,Política de privacidad,Конфиденциальность,개인정보 보호 정책,プライバシーポリシー,गोपनीयता नीति,Конфіденційність,Informativa sulla privacy,
ui_setting_sound,Sound,Âm Thanh,Som,Ses,Ton,Son,Suara,Sonido,Звук,소리,サウンド,आवाज़,Звук,Suono,
ui_skip_des,Are you sure you want to skip the tutorial?,Bạn chắc chắn muốn bỏ qua hướng dẫn này chứ?,Tem certeza que deseja pular o tutorial?,Eğitimi atlamak istediğinizden emin misiniz?,"Sind Sie sicher, dass Sie das Tutorial überspringen möchten?",Voulez-vous vraiment ignorer le didacticiel ?,Apakah Anda yakin ingin melewatkan tutorial?,¿Estás seguro de que quieres saltar el tutorial?,"Вы уверены, что хотите пропустить обучение?",튜토리얼을 건너뛰시겠습니까?,チュートリアルをスキップしてもよろしいですか？,क्या आप वाकई ट्यूटोरियल छोड़ना चाहते हैं?,"Ви впевнені, що хочете пропустити навчання?",Sei sicuro di voler saltare il tutorial?,
ui_skip_title,SKIP TUTORIAL,BỎ QUA HƯỚNG DẪN,PULAR TUTORIAL,EĞİTİMİ ATLA,TUTORIAL ÜBERSPRINGEN,PASSER LE TUTORIEL,LEWATI TUTORIAL,SALTAR TUTORIAL,ПРОПУСТИТЬ ОБУЧЕНИЕ,튜토리얼 건너뛰기,チュートリアルをスキップ,ट्यूटोरियल छोड़ें,ПРОПУСТИТИ НАВЧАННЯ,SALTA IL TUTORIAL,
ui_taptostart,Tap to start,Bấm để bắt đầu,Toque para começar,Başlamak için dokun,Zum Starten tippen,Appuyez pour commencer,Ketuk untuk memulai,Toca para empezar,"Нажмите, чтобы начать",시작하려면 탭하세요,タップして開始,शुरू करने के लिए टैप करें,"Торкніться, щоб почати",Tocca per iniziare,
ui_timeline_clear,Clear!,Xong!,Limpar!,Temizle!,Löschen!,Effacer !,Bersihkan!,¡Borrar!,Очистить!,클리어!,クリア！,साफ़!,Очистити!,Cancella!,
ui_timeline_next,Next!,Tiếp theo!,Próximo!,Sıradaki!,Nächster!,Suivant !,Berikutnya!,¡Siguiente!,Следующий!,다음!,次！,अगला!,Наступний!,Prossimo!,
ui_tutorial_firegate,SHOOT TO INCREASE FIRE RATE,BẮN ĐỂ TĂNG TỐC ĐỘ BẮN,ATIRE PARA AUMENTAR A VELOCIDADE DE DISPARO,ATIŞ HIZINI ARTIRMAK İÇİN ATEŞ ET,"SCHIESSEN, UM FEUERRATE ZU ERHÖHEN",TIREZ POUR AUGMENTER LA CADENCE DE TIR,TEMBAK UNTUK MENINGKATKAN LAJU TEMBAKAN,DISPARA PARA AUMENTAR LA CADENCIA,"СТРЕЛЯЙТЕ, ЧТОБЫ УВЕЛИЧИТЬ СКОРОСТРЕЛЬНОСТЬ",발사하여 발사 속도 증가,撃って連射速度を上げる,फायर रेट बढ़ाने के लिए शूट करें,"СТРІЛЯЙТЕ, ЩОБ ЗБІЛЬШИТИ ШВИДКОСТРІЛЬНІСТЬ",SPARA PER AUMENTARE LA CADENZA DI TIRO,
ui_tutorial_maxrange,MAX RANGE,TẦM BẮN TỐI ĐA,ALCANCE MÁXIMO,MAKSİMUM MENZİL,MAXIMALE REICHWEITE,PORTÉE MAXIMALE,JANGKAUAN MAKSIMAL,ALCANCE MÁXIMO,МАКСИМАЛЬНАЯ ДАЛЬНОСТЬ,최대 사거리,最大射程,अधिकतम सीमा,МАКСИМАЛЬНА ДАЛЬНІСТЬ,PORTATA MASSIMA,
ui_tutorial_pillar,SHOOT TO GAIN CAPACITY,BẮN ĐỂ TĂNG SỨC CHỨA,ATIRE PARA GANHAR CAPACIDADE,KAPASİTE KAZANMAK İÇİN ATEŞ ET,"SCHIESSEN, UM KAPAZITÄT ZU ERHALTEN",TIREZ POUR GAGNER DE LA CAPACITÉ,TEMBAK UNTUK MENDAPATKAN KAPASITAS,DISPARA PARA GANAR CAPACIDAD,"СТРЕЛЯЙТЕ, ЧТОБЫ УВЕЛИЧИТЬ ЕМКОСТЬ",발사하여 용량 획득,撃って容量を獲得,क्षमता पाने के लिए शूट करें,"СТРІЛЯЙТЕ, ЩОБ ОТРИМАТИ МІСТКІСТЬ",SPARA PER GUADAGNARE CAPACITÀ,
ui_tutorial_unit,SHOOT TO LEVEL UP,BẮN ĐỂ NÂNG CẤP,ATIRE PARA SUBIR DE NÍVEL,SEVİYE ATLAMAK İÇİN ATEŞ ET,SCHIESSEN FÜR LEVEL-UP,TIREZ POUR MONTER DE NIVEAU,TEMBAK UNTUK NAIK LEVEL,DISPARA PARA SUBIR DE NIVEL,"СТРЕЛЯЙТЕ, ЧТОБЫ ПОВЫСИТЬ УРОВЕНЬ",발사하여 레벨 업,撃ってレベルアップ,लेवल बढ़ाने के लिए शूट करें,"СТРІЛЯЙТЕ, ЩОБ ПІДВИЩИТИ РІВЕНЬ",SPARA PER SALIRE DI LIVELLO,
ui_unequip,unequip,Tháo bỏ,Desequipar,Çıkar,Ablegen,Déséquiper,Lepas,Desequipar,Снять,장착 해제,装備解除,हटाएँ,Зняти,Rimuovi,
ui_unlock_feature,<size=80>{0}</size> are unlocked at <color=#F2F14C>{1}</color>,<size=80>{0}</size> được mở khóa tại <color=#F2F14C>{1}</color>,<size=80>{0}</size> são desbloqueados em <color=#F2F14C>{1}</color>,"<size=80>{0}</size>, <color=#F2F14C>{1}</color> seviyesinde açılır",<size=80>{0}</size> werden bei <color=#F2F14C>{1}</color> freigeschaltet,<size=80>{0}</size> sont débloqués à <color=#F2F14C>{1}</color>,<size=80>{0}</size> terbuka di <color=#F2F14C>{1}</color>,<size=80>{0}</size> se desbloquean en <color=#F2F14C>{1}</color>,<size=80>{0}</size> разблокируются на <color=#F2F14C>{1}</color>,<size=80>{0}</size>은(는) <color=#F2F14C>{1}</color>에서 해제됩니다,<size=80>{0}</size>は<color=#F2F14C>{1}</color>でアンロックされます,<size=80>{0}</size> <color=#F2F14C>{1}</color> पर अनलॉक होते हैं,<size=80>{0}</size> розблоковуються на <color=#F2F14C>{1}</color>,<size=80>{0}</size> si sbloccano a <color=#F2F14C>{1}</color>,
watch_ads,Watch Ads,XEM QUẢNG CÁO,Assistir a anúncios,Reklam İzle,Werbung ansehen,Regarder des publicités,Tonton Iklan,Ver anuncios,Смотреть рекламу,광고 시청,広告を見る,विज्ञापन देखें,Дивитися рекламу,Guarda gli annunci,
ui_shop_active_for,Active for <color=yellow>{0} days,Tồn tại trong <color=yellow>{0} ngày,Ativo por <color=yellow>{0} dias,<color=yellow>{0} gün boyunca aktif,Aktiv für <color=yellow>{0} Tage,Actif pendant <color=yellow>{0} jours,Aktif selama <color=yellow>{0} hari,Activo durante <color=yellow>{0} días,Активен в течение <color=yellow>{0} дней,<color=yellow>{0}일 동안 활성화,<color=yellow>{0}日間有効,<color=yellow>{0} दिनों के लिए सक्रिय,Активний протягом <color=yellow>{0} днів,Attivo per <color=yellow>{0} giorni,
ui_shop_day_left,Day Left: <color=#0DE3F4>{0} Days!,Ngày còn lại: <color=#0DE3F4>{0} ngày!,Dias restantes: <color=#0DE3F4>{0} dias!,Kalan Gün: <color=#0DE3F4>{0} Gün!,Verbleibende Tage: <color=#0DE3F4>{0} Tage!,Jour restant : <color=#0DE3F4>{0} jours !,Hari Tersisa: <color=#0DE3F4>{0} Hari!,Días restantes: <color=#0DE3F4>{0} días!,Осталось дней: <color=#0DE3F4>{0} дн.!,남은 일수: <color=#0DE3F4>{0}일!,残り日数：<color=#0DE3F4>{0}日!,शेष दिन: <color=#0DE3F4>{0} दिन!,Залишилося днів: <color=#0DE3F4>{0} дн.!,Giorni rimasti: <color=#0DE3F4>{0} giorni!,
ui_shop_card_grace_title,GRACE CARD,THẺ CHÚC PHÚC,CARTÃO DE GRAÇA,LÜTUF KARTI,GNADENKARTE,CARTE DE GRÂCE,KARTU ANUGERAH,TARJETA DE GRACIA,КАРТА БЛАГОДАТИ,은혜 카드,グレースカード,ग्रेस कार्ड,КАРТА БЛАГОДАТІ,CARTA DELLA GRAZIA,
ui_shop_card_grace_des1,Active each Grace with <color=#0ABF15>NO ADS</color> once per day,Kích hoạt mỗi Chúc Phúc <color=#0ABF15>KHÔNG QUẢNG CÁO</color> một lần mỗi ngày,Ative cada Graça <color=#0ABF15>SEM ANÚNCIOS</color> uma vez por dia,Her Lütfu günde bir kez <color=#0ABF15>REKLAMSIZ</color> etkinleştirin,Aktiviere jede Gnade einmal täglich <color=#0ABF15>OHNE WERBUNG</color>,Activez chaque Grâce <color=#0ABF15>SANS PUBLICITÉ</color> une fois par jour,Aktifkan setiap Grace <color=#0ABF15>TANPA IKLAN</color> sekali sehari,Activa cada Gracia <color=#0ABF15>SIN ANUNCIOS</color> una vez al día,Активируйте каждую Благодать <color=#0ABF15>БЕЗ РЕКЛАМЫ</color> один раз в день,매일 한 번씩 <color=#0ABF15>광고 없이</color> 각 은총을 활성화하세요,毎日1回、<color=#0ABF15>広告なし</color>で各恩寵を有効にします,प्रत्येक अनुग्रह को दिन में एक बार <color=#0ABF15>बिना किसी विज्ञापन</color> के सक्रिय करें,Активуйте кожну Благодать <color=#0ABF15>БЕЗ РЕКЛАМИ</color> раз на день,Attiva ogni Grazia <color=#0ABF15>SENZA PUBBLICITÀ</color> una volta al giorno,
ui_shop_card_grace_des2,"Grace  <color=#297ECC>Crystal</color><sprite name=""gem""> decrease: <color=#0ABF15>{0}%</color>","Giá Chúc Phúc <color=#297ECC>Tinh Thể</color><sprite name=""gem""> giảm: <color=#0ABF15>{0}%</color>","Diminuição de <color=#297ECC>Cristal</color><sprite name=""gem""> de Graça: <color=#0ABF15>{0}%</color>","Grace <color=#297ECC>Kristal</color><sprite name=""gem""> azalması: <color=#0ABF15>{0}%</color>","Grace- <color=#297ECC>Kristall</color><sprite name=""gem"">-Abnahme: <color=#0ABF15>{0}%</color>","Diminution du <color=#297ECC>Cristal</color><sprite name=""gem""> de Grâce : <color=#0ABF15>{0}%</color>","Penurunan <color=#297ECC>Kristal</color><sprite name=""gem""> Grace: <color=#0ABF15>{0}%</color>","Disminución de <color=#297ECC>Cristal</color><sprite name=""gem""> de Gracia: <color=#0ABF15>{0}%</color>","Уменьшение <color=#297ECC>кристалла</color><sprite name=""gem""> благодати: <color=#0ABF15>{0}%</color>","그레이스 <color=#297ECC>크리스탈</color><sprite name=""gem""> 감소: <color=#0ABF15>{0}%</color>","グレイス <color=#297ECC>クリスタル</color><sprite name=""gem"">減少: <color=#0ABF15>{0}%</color>","ग्रेस <color=#297ECC>क्रिस्टल</color><sprite name=""gem""> में कमी: <color=#0ABF15>{0}%</color>","Зменшення <color=#297ECC>кристала</color><sprite name=""gem""> благодаті: <color=#0ABF15>{0}%</color>","Riduzione <color=#297ECC>Cristallo</color><sprite name=""gem""> di Grazia: <color=#0ABF15>{0}%</color>",
ui_shop_card_grace_des3,Grace XP fill <color=#FF9600>PER ACTIVATION</color>,Kinh nghiệm Chúc Phúc nhận được <color=#FF9600>MỖI LẦN KÍCH HOẠT</color>,Preenchimento de XP de Graça <color=#FF9600>POR ATIVAÇÃO</color>,Lütuf TP dolumu <color=#FF9600>ETKİNLEŞTİRME BAŞINA</color>,Gnaden-EP-Füllung <color=#FF9600>PRO AKTIVIERUNG</color>,Remplissage d'EXP de Grâce <color=#FF9600>PAR ACTIVATION</color>,Pengisian XP Grace <color=#FF9600>PER AKTIVASI</color>,Carga de PE de Gracia <color=#FF9600>POR ACTIVACIÓN</color>,Заполнение опыта Благодати <color=#FF9600>ЗА АКТИВАЦИЮ</color>,은총 XP 충전량 <color=#FF9600>발동 시마다</color>,恩寵XP獲得 <color=#FF9600>発動につき</color>,ग्रेस XP वृद्धि <color=#FF9600>प्रति सक्रियता</color>,Наповнення XP Благодаті <color=#FF9600>ЗА АКТИВАЦІЮ</color>,Riempimento PE Grazia <color=#FF9600>PER ATTIVAZIONE</color>,
ui_rarity_base,Base,Cơ bản,Base,Temel,Basis,Base,Dasar,Base,База,베이스,ベース,आधार,База,Base,
ui_rarity_common,Common,Thông thường,Comum,Yaygın,Allgemein,Commun,Umum,Común,Обычный,일반,一般,सामान्य,Звичайний,Comune,
ui_rarity_unconmmon,Uncommon,Phổ biến,Incomum,Sıra dışı,Ungewöhnlich,Peu commun,Tidak biasa,Poco común,Необычный,흔치 않은,珍しい,असामान्य,Незвичайний,Non comune,
ui_rarity_rare,Rare,Hiếm,Raro,Nadir,Selten,Rare,Langka,Raro,Редкий,희귀,レア,दुर्लभ,Рідкісний,Raro,
ui_rarity_epic,Epic,Sử thi,Épico,Epik,Episch,Épique,Epik,Épico,Эпический,에픽,エピック,महाकाव्य,Епічний,Epico,
ui_rarity_legendary,Legendary,Huyền thoại,Lendário,Efsanevi,Legendär,Légendaire,Legendaris,Legendario,Легендарный,전설적인,伝説,पौराणिक,Легендарний,Leggendario,
ui_mythic,Mythic,Thần thoại,Mítico,Mitolojik,Mythisch,Mythique,Mitos,Mítico,Мифический,신화,神話,पौराणिक,Міфічний,Mitico,
ui_silverchest,Silver Chest,Rương Bạc,Baú de Prata,Gümüş Sandık,Silberne Truhe,Coffre en argent,Peti Perak,Cofre de plata,Серебряный сундук,실버 상자,シルバー宝箱,चाँदी का संदूक,Срібна скриня,Baule d'argento,
ui_silverchest_des1,Contain <color=#9A9A9A>Base</color> and  <color=#35b047>Common</color> Equipment,Chứa trang bị <color=#9A9A9A>Cơ bản</color> và <color=#35b047>Thông thường</color>,Contém Equipamentos <color=#9A9A9A>Comuns</color> e <color=#35b047>Incomuns</color>,<color=#9A9A9A>Yaygın</color> ve <color=#35b047>Sıradışı</color> Ekipman İçerir,Enthält <color=#9A9A9A>gewöhnliche</color> und <color=#35b047>ungewöhnliche</color> Ausrüstung,Contient de l'équipement <color=#9A9A9A>Commun</color> et <color=#35b047>Inhabituel</color>,Berisi Perlengkapan <color=#9A9A9A>Umum</color> dan <color=#35b047>Tidak Umum</color>,Contiene equipamiento <color=#9A9A9A>Común</color> e <color=#35b047>Inusual</color>,Содержит <color=#9A9A9A>обычное</color> и <color=#35b047>необычное</color> снаряжение,<color=#9A9A9A>일반</color> 및 <color=#35b047>고급</color> 장비 포함,<color=#9A9A9A>コモン</color>と<color=#35b047>アンコモン</color>の装備が含まれています,इसमें <color=#9A9A9A>सामान्य</color> और <color=#35b047>असामान्य</color> उपकरण शामिल हैं,Містить <color=#9A9A9A>звичайне</color> та <color=#35b047>незвичайне</color> спорядження,Contiene equipaggiamento <color=#9A9A9A>Comune</color> e <color=#35b047>Non comune</color>,
ui_silverchest_des2,"After {0} open, guaranteed <color=#{1}>Common</color> Equipment","Sau {0} lần mở, chắc chắn nhận được trang bị <color=#{1}>Thường</color>","Após {0} aberturas, Equipamento <color=#{1}>Incomum</color> garantido","{0} açılıştan sonra, garantili <color=#{1}>Sıradışı</color> Ekipman",Nach {0} Öffnungen garantiert <color=#{1}>ungewöhnliche</color> Ausrüstung,"Après {0} ouvertures, Équipement <color=#{1}>Inhabituel</color> garanti","Setelah {0} kali dibuka, dijamin mendapatkan Peralatan <color=#{1}>Tidak Umum</color>","Tras {0} aperturas, Equipo <color=#{1}>Poco común</color> garantizado",После {0} открытий гарантировано <color=#{1}>необычное</color> снаряжение,{0}회 오픈 후 <color=#{1}>고급</color> 장비 확정,{0}回開封で<color=#{1}>アンコモン</color>装備確定,"{0} बार खोलने के बाद, <color=#{1}>असामान्य</color> उपकरण की गारंटी",Після {0} відкриттів гарантовано <color=#{1}>незвичайне</color> спорядження,"Dopo {0} aperture, equipaggiamento <color=#{1}>non comune</color> garantito",
ui_goldchest,Gold Chest,Rương Vàng,Baú de Ouro,Altın Sandık,Goldtruhe,Coffre doré,Peti Emas,Cofre de oro,Золотой сундук,황금 상자,黄金の宝箱,स्वर्ण संदूक,Золота скриня,Baule d'oro,
ui_goldchest_des1,"Contain <color=#9A9A9A>Base</color>, <color=#84FF00>Common</color> and <color=#009DFF>Rare</color> Equipment","Chứa trang bị <color=#9A9A9A>Cơ bản</color> , <color=#84FF00>Thường</color> và  <color=#009DFF>Hiếm</color> ","Contém equipamentos <color=#9A9A9A>comuns</color>, <color=#84FF00>incomuns</color> e <color=#009DFF>raros</color>","<color=#9A9A9A>Yaygın</color>, <color=#84FF00>Sıra Dışı</color> ve <color=#009DFF>Nadir</color> Ekipman içerir","Enthält <color=#9A9A9A>gewöhnliche</color>, <color=#84FF00>ungewöhnliche</color> und <color=#009DFF>seltene</color> Ausrüstung","Contient de l'équipement <color=#9A9A9A>commun</color>, <color=#84FF00>peu commun</color> et <color=#009DFF>rare</color>","Berisi Perlengkapan <color=#9A9A9A>Umum</color>, <color=#84FF00>Tidak Umum</color>, dan <color=#009DFF>Langka</color>","Contiene equipo <color=#9A9A9A>común</color>, <color=#84FF00>poco común</color> y <color=#009DFF>raro</color>","Содержит <color=#9A9A9A>обычное</color>, <color=#84FF00>необычное</color> и <color=#009DFF>редкое</color> снаряжение","<color=#9A9A9A>일반</color>, <color=#84FF00>고급</color> 및 <color=#009DFF>희귀</color> 장비 포함",<color=#9A9A9A>コモン</color>、<color=#84FF00>アンコモン</color>、<color=#009DFF>レア</color>の装備が含まれています,"इसमें <color=#9A9A9A>सामान्य</color>, <color=#84FF00>असामान्य</color> और <color=#009DFF>दुर्लभ</color> उपकरण शामिल हैं","Містить <color=#9A9A9A>звичайне</color>, <color=#84FF00>незвичайне</color> та <color=#009DFF>рідкісне</color> спорядження","Contiene equipaggiamento <color=#9A9A9A>comune</color>, <color=#84FF00>non comune</color> e <color=#009DFF>raro</color>",
